name,img_url
bulbasaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
ivysaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
venusaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
charmander,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
charmeleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
charizard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
squirtle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
wartortle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
blastoise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
caterpie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
metapod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
butterfree,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
weedle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
kakuna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
beedrill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
pidgey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
pidgeotto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
pidgeot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
rattata,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
raticate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
spearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
fearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
ekans,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
arbok,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
pikachu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
raichu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
sandshrew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
sandslash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
nidoran-f,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
nidorina,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
nidoqueen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
nidoran-m,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
nidorino,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
nidoking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
clefairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
clefable,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
vulpix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
ninetales,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
jigglypuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
wigglytuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
zubat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
golbat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
oddish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
gloom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
vileplume,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
paras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
parasect,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
venonat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
venomoth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
diglett,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
dugtrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
meowth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
persian,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
psyduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
golduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
mankey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
primeape,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
growlithe,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
arcanine,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
poliwag,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
poliwhirl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
poliwrath,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
abra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
kadabra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
alakazam,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
machop,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
machoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
machamp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
bellsprout,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
weepinbell,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
victreebel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
tentacool,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
tentacruel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
geodude,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
graveler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
golem,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
ponyta,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
rapidash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
